dataset,arm,backbone,h,seed,L,mse
gefcom_wind,fan,linmix,24,0,192,0.43467
gefcom_wind,fan,linmix,24,1,192,0.4775
gefcom_wind,fan,linmix,24,2,192,0.464664
gefcom_wind,fan,linmix,24,3,192,0.455238
gefcom_wind,fan,linmix,24,4,192,0.460838
gefcom_wind,condnorm,linmix,24,0,192,0.178878
gefcom_wind,condnorm,linmix,24,1,192,0.177089
gefcom_wind,condnorm,linmix,24,2,192,0.17637
gefcom_wind,condnorm,linmix,24,3,192,0.17755
gefcom_wind,condnorm,linmix,24,4,192,0.177244
gefcom_wind,raw,mlpmix,24,0,192,0.259952
gefcom_wind,raw,mlpmix,24,1,192,0.240267
gefcom_wind,raw,mlpmix,24,2,192,0.23655
gefcom_wind,raw,mlpmix,24,3,192,0.253855
gefcom_wind,raw,mlpmix,24,4,192,0.254527
gefcom_wind,revin,mlpmix,24,0,192,0.270594
gefcom_wind,revin,mlpmix,24,1,192,0.250849
gefcom_wind,revin,mlpmix,24,2,192,0.25748
gefcom_wind,revin,mlpmix,24,3,192,0.25687
gefcom_wind,revin,mlpmix,24,4,192,0.261755
gefcom_wind,san,mlpmix,24,0,192,0.333108
gefcom_wind,san,mlpmix,24,1,192,0.342211
gefcom_wind,san,mlpmix,24,2,192,0.353739
gefcom_wind,san,mlpmix,24,3,192,0.396273
gefcom_wind,san,mlpmix,24,4,192,0.363674
gefcom_wind,fan,mlpmix,24,0,192,0.517113
gefcom_wind,fan,mlpmix,24,1,192,0.482662
gefcom_wind,fan,mlpmix,24,2,192,0.501561
gefcom_wind,fan,mlpmix,24,3,192,0.490161
gefcom_wind,fan,mlpmix,24,4,192,0.533731
gefcom_wind,condnorm,mlpmix,24,0,192,0.186719
gefcom_wind,condnorm,mlpmix,24,1,192,0.184955
gefcom_wind,condnorm,mlpmix,24,2,192,0.187619
gefcom_wind,condnorm,mlpmix,24,3,192,0.196031
gefcom_wind,condnorm,mlpmix,24,4,192,0.193219
gefcom_wind,raw,lgbmcov,24,0,336,0.142281
gefcom_wind,revin,lgbmcov,24,0,336,0.159688
gefcom_wind,condnorm,lgbmcov,24,0,336,0.147892
gefcom_wind,raw,linmix,96,0,336,0.248843
gefcom_wind,raw,linmix,96,1,336,0.264771
gefcom_wind,raw,linmix,96,2,336,0.25467
gefcom_wind,raw,linmix,96,3,336,0.237099
gefcom_wind,raw,linmix,96,4,336,0.246099
gefcom_wind,revin,linmix,96,0,336,0.302357
gefcom_wind,revin,linmix,96,1,336,0.302456
gefcom_wind,revin,linmix,96,2,336,0.302791
gefcom_wind,revin,linmix,96,3,336,0.324945
gefcom_wind,revin,linmix,96,4,336,0.302244
gefcom_wind,san,linmix,96,0,336,0.350005
gefcom_wind,san,linmix,96,1,336,0.35159
gefcom_wind,san,linmix,96,2,336,0.32694
gefcom_wind,san,linmix,96,3,336,0.364876
gefcom_wind,san,linmix,96,4,336,0.35855
gefcom_wind,fan,linmix,96,0,336,0.747287
gefcom_wind,fan,linmix,96,1,336,0.751317
gefcom_wind,fan,linmix,96,2,336,0.820023
gefcom_wind,fan,linmix,96,3,336,0.815121
gefcom_wind,fan,linmix,96,4,336,0.769051
gefcom_wind,condnorm,linmix,96,0,336,0.168895
gefcom_wind,condnorm,linmix,96,1,336,0.167405
gefcom_wind,condnorm,linmix,96,2,336,0.168848
