zone,name,lps,T
2,gwind_z02,0.5753,16787
8,gwind_z08,0.6304,16800
9,gwind_z09,0.6312,16800
10,gwind_z10,0.6433,16800
3,gwind_z03,0.699,16712
1,gwind_z01,0.7012,16789
6,gwind_z06,0.7276,16800
5,gwind_z05,0.7472,16800
7,gwind_z07,0.7508,16800
4,gwind_z04,0.7585,16800
