dataset,backbone,h,bin,n,ramp_lo,ramp_hi,cost,mse_raw,mse_revin,lvl_err_windowmean,lvl_err_covariate
gefcom_solar,mlpmix,96,0,1234,0.19092701304543408,0.2911463562753038,-2.1e-05,0.076647,0.076626,0.153211,0.035094
gefcom_solar,mlpmix,96,1,1234,0.2911463562753038,0.3299340755735493,0.012451,0.081533,0.093984,0.212142,0.037512
gefcom_solar,mlpmix,96,2,1234,0.3299340755735493,0.44600380116959093,0.016002,0.091233,0.107235,0.138268,0.031348
gefcom_solar,mlpmix,336,0,1154,0.2802874044084567,0.34390639901034636,0.015595,0.092435,0.10803,0.128449,0.029267
gefcom_solar,mlpmix,336,1,1154,0.34390639901034636,0.37463087044534404,0.008772,0.105511,0.114283,0.110227,0.020783
gefcom_solar,mlpmix,336,2,1154,0.37463087044534404,0.44600380116959093,0.016939,0.121391,0.13833,0.087318,0.014595
gefcom_wind,mlpmix,24,0,304,0.049943494367935215,0.10576945461402754,0.037079,0.138086,0.175165,0.671186,0.150306
gefcom_wind,mlpmix,24,1,303,0.10576945461402754,0.13791650305859504,0.030173,0.192671,0.222844,0.534908,0.165571
gefcom_wind,mlpmix,24,2,303,0.13791650305859504,0.2397068051798743,-0.035902,0.4167,0.380798,0.729237,0.197334
gefcom_wind,mlpmix,96,0,160,0.09663852943772677,0.13839890094431817,0.040743,0.183775,0.224518,0.238268,0.061224
gefcom_wind,mlpmix,96,1,159,0.13839890094431817,0.17253865566867782,0.011868,0.273089,0.284957,0.421017,0.040379
gefcom_wind,mlpmix,96,2,159,0.17253865566867782,0.22084369735467888,0.019056,0.309414,0.328471,0.477047,0.055342
gefcom_wind,mlpmix,336,0,96,0.13791650305859504,0.22084369735467888,0.122052,0.256175,0.378227,0.297474,0.028628
gefcom_wind,mlpmix,336,1,95,0.22084369735467888,0.22084369735467888,0.072512,0.368079,0.440591,0.415588,0.032732
gefcom_wind,mlpmix,336,2,95,0.22084369735467888,0.2397068051798743,0.059781,0.405987,0.465768,0.322508,0.103322
jeju_wind,mlpmix,24,0,1329,1.552,15.815999999999995,0.00538,0.132622,0.138002,0.60243,0.21804
jeju_wind,mlpmix,24,1,1328,15.815999999999995,32.036,0.032437,0.269005,0.301442,0.593854,0.260935
jeju_wind,mlpmix,24,2,1328,32.036,100.258,-0.001441,0.642581,0.64114,0.774786,0.348374
jeju_wind,mlpmix,48,0,1321,2.543,23.432000000000002,-0.001525,0.156191,0.154666,0.511076,0.198637
jeju_wind,mlpmix,48,1,1320,23.432000000000002,43.891999999999996,0.060621,0.359817,0.420438,0.604232,0.236455
jeju_wind,mlpmix,48,2,1320,43.891999999999996,100.258,0.006561,0.587338,0.593899,0.614489,0.264918
gefcom_load,lgbmcov,24,0,4033,7.0,19.0,0.009984,0.093844,0.103829,0.404551,0.205387
gefcom_load,lgbmcov,24,1,4032,19.0,24.0,0.007016,0.042398,0.049414,0.373899,0.186682
gefcom_load,lgbmcov,24,2,4032,24.0,47.900000000000006,-0.005528,0.075763,0.070235,0.458813,0.257783
gefcom_load,lgbmcov,96,0,4009,14.299999999999983,23.200000000000003,0.022067,0.119044,0.141111,0.340114,0.169597
gefcom_load,lgbmcov,96,1,4008,23.200000000000003,27.400000000000006,0.002112,0.084013,0.086125,0.327125,0.169483
gefcom_load,lgbmcov,96,2,4008,27.400000000000006,47.900000000000006,0.017388,0.094239,0.111627,0.439861,0.230308
gefcom_load,lgbmcov,336,0,3929,17.900000000000006,25.099999999999994,0.037336,0.101571,0.138907,0.297282,0.121927
gefcom_load,lgbmcov,336,1,3928,25.099999999999994,30.19999999999999,0.012629,0.134921,0.14755,0.326774,0.195896
gefcom_load,lgbmcov,336,2,3928,30.19999999999999,47.900000000000006,0.040151,0.093207,0.133357,0.487804,0.189009
gefcom_solar,lgbmcov,24,0,1258,0.04457798020692753,0.22497205353126432,-0.00026,0.050916,0.050656,0.236892,0.06234
gefcom_solar,lgbmcov,24,1,1258,0.22497205353126432,0.27456982681061615,0.004215,0.040352,0.044567,0.143557,0.05189
gefcom_solar,lgbmcov,24,2,1258,0.27456982681061615,0.44600380116959093,0.008089,0.063573,0.071662,0.161465,0.066621
gefcom_solar,lgbmcov,96,0,1234,0.19092701304543408,0.2911463562753038,0.005829,0.042424,0.048253,0.117012,0.035094
gefcom_solar,lgbmcov,96,1,1234,0.2911463562753038,0.3299340755735493,0.008176,0.05346,0.061635,0.148266,0.037512
gefcom_solar,lgbmcov,96,2,1234,0.3299340755735493,0.44600380116959093,0.00486,0.060449,0.06531,0.102836,0.031348
gefcom_solar,lgbmcov,336,0,1154,0.2802874044084567,0.34390639901034636,0.016105,0.050669,0.066773,0.08866,0.029267
gefcom_solar,lgbmcov,336,1,1154,0.34390639901034636,0.37463087044534404,0.002451,0.049491,0.051942,0.107532,0.020783
gefcom_solar,lgbmcov,336,2,1154,0.37463087044534404,0.44600380116959093,0.001763,0.060665,0.062428,0.066764,0.014595
gefcom_wind,lgbmcov,24,0,208,0.049943494367935215,0.10461377986895398,0.001235,0.112231,0.113466,0.754075,0.139298
gefcom_wind,lgbmcov,24,1,207,0.10461377986895398,0.13599837629152534,0.03388,0.131535,0.165415,0.52885,0.164353
gefcom_wind,lgbmcov,24,2,207,0.13599837629152534,0.22084369735467888,0.017185,0.183222,0.200407,0.665322,0.13375
gefcom_wind,lgbmcov,96,0,160,0.09663852943772677,0.13839890094431817,-0.001613,0.146109,0.144496,0.238268,0.061224
gefcom_wind,lgbmcov,96,1,159,0.13839890094431817,0.17253865566867782,0.027243,0.136421,0.163664,0.421017,0.040379
gefcom_wind,lgbmcov,96,2,159,0.17253865566867782,0.22084369735467888,0.037069,0.171436,0.208505,0.477047,0.055342
gefcom_wind,lgbmcov,336,0,32,0.17496080887463844,0.22084369735467888,0.040242,0.172273,0.212515,0.082218,0.022912
gefcom_wind,lgbmcov,336,1,31,0.22084369735467888,0.22084369735467888,0.036699,0.153463,0.190162,0.301973,0.032581
gefcom_wind,lgbmcov,336,2,31,0.22084369735467888,0.22084369735467888,0.035004,0.16831,0.203313,0.179865,0.02255
jeju_wind,lgbmcov,24,0,1329,1.552,15.815999999999995,-0.005212,0.056787,0.051575,0.60243,0.21804
jeju_wind,lgbmcov,24,1,1328,15.815999999999995,32.036,0.037657,0.207603,0.245259,0.593854,0.260935
jeju_wind,lgbmcov,24,2,1328,32.036,100.258,0.053286,0.468132,0.521419,0.774786,0.348374
jeju_wind,lgbmcov,48,0,1321,2.543,23.432000000000002,-0.008117,0.083412,0.075295,0.511076,0.198637
jeju_wind,lgbmcov,48,1,1320,23.432000000000002,43.891999999999996,0.049618,0.272483,0.322101,0.604232,0.236455
jeju_wind,lgbmcov,48,2,1320,43.891999999999996,100.258,0.080854,0.415363,0.496217,0.614489,0.264918
gefcom_load,segrnncov,24,0,4033,7.0,19.0,0.010687,0.082956,0.093643,0.404551,0.205387
gefcom_load,segrnncov,24,1,4032,19.0,24.0,0.004682,0.034285,0.038966,0.373899,0.186682
gefcom_load,segrnncov,24,2,4032,24.0,47.900000000000006,-0.001676,0.046274,0.044598,0.458813,0.257783
gefcom_load,segrnncov,96,0,4009,14.299999999999983,23.200000000000003,0.01238,0.119028,0.131408,0.303196,0.169597
gefcom_load,segrnncov,96,1,4008,23.200000000000003,27.400000000000006,0.003717,0.072627,0.076344,0.335496,0.169483
gefcom_load,segrnncov,96,2,4008,27.400000000000006,47.900000000000006,0.009262,0.072535,0.081797,0.420002,0.230308
gefcom_load,segrnncov,336,0,3929,17.900000000000006,25.099999999999994,0.021916,0.114858,0.136774,0.297282,0.121927
gefcom_load,segrnncov,336,1,3928,25.099999999999994,30.19999999999999,-0.005343,0.123842,0.1185,0.326774,0.195896
gefcom_load,segrnncov,336,2,3928,30.19999999999999,47.900000000000006,0.01029,0.076493,0.086783,0.487804,0.189009
gefcom_solar,segrnncov,24,0,1258,0.04457798020692753,0.22497205353126432,-0.00132,0.05843,0.057109,0.234213,0.06234
gefcom_solar,segrnncov,24,1,1258,0.22497205353126432,0.27456982681061615,0.00096,0.043483,0.044443,0.128819,0.05189
gefcom_solar,segrnncov,24,2,1258,0.27456982681061615,0.44600380116959093,0.003007,0.069504,0.072511,0.151953,0.066621
gefcom_solar,segrnncov,96,0,1234,0.19092701304543408,0.2911463562753038,-0.004661,0.050853,0.046192,0.126109,0.035094
gefcom_solar,segrnncov,96,1,1234,0.2911463562753038,0.3299340755735493,0.000171,0.054798,0.054969,0.13525,0.037512
gefcom_solar,segrnncov,96,2,1234,0.3299340755735493,0.44600380116959093,0.001807,0.065943,0.06775,0.089282,0.031348
gefcom_solar,segrnncov,336,0,1154,0.2802874044084567,0.34390639901034636,0.00746,0.050728,0.058188,0.08866,0.029267
gefcom_solar,segrnncov,336,1,1154,0.34390639901034636,0.37463087044534404,0.000665,0.055878,0.056543,0.107532,0.020783
gefcom_solar,segrnncov,336,2,1154,0.37463087044534404,0.44600380116959093,0.000878,0.06802,0.068898,0.066764,0.014595
gefcom_wind,segrnncov,24,0,469,0.04608577728784813,0.0978264149458189,0.013123,0.104,0.117123,0.588589,0.183252
gefcom_wind,segrnncov,24,1,468,0.0978264149458189,0.13599837629152534,0.026559,0.140161,0.166721,0.607587,0.175672
