[supervised] attempt 1/3 2026-07-20 13:40:04 :: uv run python -m experiments.g7_blocke --arms revin_all,linmix_raw,linmix_revin,linmix_condnorm
[71] gefcom_wind_linmix_revin_96_0: mse=0.2868 mae=0.4288 (0.35s)
[72] gefcom_wind_linmix_revin_96_1: mse=0.2666 mae=0.4179 (0.27s)
[73] gefcom_wind_linmix_revin_96_2: mse=0.3004 mae=0.4423 (0.33s)
[74] gefcom_wind_linmix_revin_96_3: mse=0.3149 mae=0.4469 (0.35s)
[75] gefcom_wind_linmix_revin_96_4: mse=0.2760 mae=0.4245 (0.36s)
[76] gefcom_wind_linmix_condnorm_96_0: mse=0.1683 mae=0.3249 (0.23s)
[77] gefcom_wind_linmix_condnorm_96_1: mse=0.1665 mae=0.3238 (0.19s)
[78] gefcom_wind_linmix_condnorm_96_2: mse=0.1656 mae=0.3220 (0.19s)
[79] gefcom_wind_linmix_condnorm_96_3: mse=0.1719 mae=0.3285 (0.26s)
[80] gefcom_wind_linmix_condnorm_96_4: mse=0.1675 mae=0.3243 (0.24s)
[81] gefcom_wind_revin_all_336_0: mse=0.3265 mae=0.4468 (0.31s)
[82] gefcom_wind_revin_all_336_1: mse=0.3402 mae=0.4593 (0.31s)
[83] gefcom_wind_revin_all_336_2: mse=0.3149 mae=0.4410 (0.27s)
[84] gefcom_wind_revin_all_336_3: mse=0.3287 mae=0.4501 (0.36s)
[85] gefcom_wind_revin_all_336_4: mse=0.3271 mae=0.4488 (0.44s)
[86] gefcom_wind_linmix_raw_336_0: mse=0.2908 mae=0.4263 (0.3s)
[87] gefcom_wind_linmix_raw_336_1: mse=0.3133 mae=0.4430 (0.38s)
[88] gefcom_wind_linmix_raw_336_2: mse=0.2908 mae=0.4311 (0.2s)
[89] gefcom_wind_linmix_raw_336_3: mse=0.2873 mae=0.4257 (0.24s)
[90] gefcom_wind_linmix_raw_336_4: mse=0.2981 mae=0.4323 (0.2s)
[91] gefcom_wind_linmix_revin_336_0: mse=0.3713 mae=0.4797 (0.31s)
[92] gefcom_wind_linmix_revin_336_1: mse=0.3895 mae=0.4911 (0.37s)
[93] gefcom_wind_linmix_revin_336_2: mse=0.3564 mae=0.4772 (0.33s)
[94] gefcom_wind_linmix_revin_336_3: mse=0.3795 mae=0.4917 (0.39s)
[95] gefcom_wind_linmix_revin_336_4: mse=0.3372 mae=0.4637 (0.38s)
[96] gefcom_wind_linmix_condnorm_336_0: mse=0.1923 mae=0.3419 (0.22s)
[97] gefcom_wind_linmix_condnorm_336_1: mse=0.1878 mae=0.3382 (0.19s)
[98] gefcom_wind_linmix_condnorm_336_2: mse=0.1869 mae=0.3364 (0.22s)
[99] gefcom_wind_linmix_condnorm_336_3: mse=0.1899 mae=0.3406 (0.21s)
[100] gefcom_wind_linmix_condnorm_336_4: mse=0.1932 mae=0.3440 (0.19s)
[101] gefcom_load_revin_all_24_0: mse=0.2204 mae=0.3377 (1.46s)
[102] gefcom_load_revin_all_24_1: mse=0.2440 mae=0.3528 (0.74s)
[103] gefcom_load_revin_all_24_2: mse=0.2115 mae=0.3240 (0.98s)
[104] gefcom_load_revin_all_24_3: mse=0.2221 mae=0.3370 (1.64s)
[105] gefcom_load_revin_all_24_4: mse=0.2294 mae=0.3424 (0.89s)
[106] gefcom_load_linmix_raw_24_0: mse=0.2137 mae=0.3326 (0.88s)
[107] gefcom_load_linmix_raw_24_1: mse=0.2010 mae=0.3247 (0.65s)
[108] gefcom_load_linmix_raw_24_2: mse=0.2009 mae=0.3223 (0.85s)
[109] gefcom_load_linmix_raw_24_3: mse=0.1943 mae=0.3198 (0.92s)
[110] gefcom_load_linmix_raw_24_4: mse=0.2160 mae=0.3382 (0.61s)
[111] gefcom_load_linmix_revin_24_0: mse=0.2041 mae=0.3215 (1.92s)
[112] gefcom_load_linmix_revin_24_1: mse=0.2066 mae=0.3144 (1.37s)
[113] gefcom_load_linmix_revin_24_2: mse=0.1956 mae=0.3118 (2.13s)
[114] gefcom_load_linmix_revin_24_3: mse=0.2043 mae=0.3183 (1.22s)
[115] gefcom_load_linmix_revin_24_4: mse=0.1891 mae=0.3101 (1.9s)
[116] gefcom_load_linmix_condnorm_24_0: mse=0.0826 mae=0.1933 (0.61s)
[117] gefcom_load_linmix_condnorm_24_1: mse=0.0767 mae=0.1865 (0.67s)
[118] gefcom_load_linmix_condnorm_24_2: mse=0.0775 mae=0.1865 (1.48s)
[119] gefcom_load_linmix_condnorm_24_3: mse=0.0771 mae=0.1862 (0.99s)
[120] gefcom_load_linmix_condnorm_24_4: mse=0.0780 mae=0.1886 (1.57s)
[121] gefcom_load_revin_all_96_0: mse=0.4243 mae=0.4713 (0.73s)
[122] gefcom_load_revin_all_96_1: mse=0.4168 mae=0.4661 (2.28s)
[123] gefcom_load_revin_all_96_2: mse=0.4071 mae=0.4690 (0.7s)
[124] gefcom_load_revin_all_96_3: mse=0.4264 mae=0.4693 (0.78s)
[125] gefcom_load_revin_all_96_4: mse=0.4248 mae=0.4762 (0.73s)
[126] gefcom_load_linmix_raw_96_0: mse=0.3597 mae=0.4401 (0.61s)
[127] gefcom_load_linmix_raw_96_1: mse=0.3764 mae=0.4537 (1.5s)
[128] gefcom_load_linmix_raw_96_2: mse=0.3678 mae=0.4445 (0.99s)
[129] gefcom_load_linmix_raw_96_3: mse=0.3532 mae=0.4352 (0.62s)
[130] gefcom_load_linmix_raw_96_4: mse=0.3750 mae=0.4525 (0.65s)
[131] gefcom_load_linmix_revin_96_0: mse=0.3959 mae=0.4438 (2.34s)
[132] gefcom_load_linmix_revin_96_1: mse=0.3820 mae=0.4441 (4.02s)
[133] gefcom_load_linmix_revin_96_2: mse=0.3800 mae=0.4470 (1.28s)
[134] gefcom_load_linmix_revin_96_3: mse=0.3874 mae=0.4456 (1.2s)
[135] gefcom_load_linmix_revin_96_4: mse=0.3876 mae=0.4392 (2.95s)
[136] gefcom_load_linmix_condnorm_96_0: mse=0.1117 mae=0.2188 (0.69s)
[137] gefcom_load_linmix_condnorm_96_1: mse=0.1108 mae=0.2184 (0.93s)
[138] gefcom_load_linmix_condnorm_96_2: mse=0.1139 mae=0.2213 (0.65s)
[139] gefcom_load_linmix_condnorm_96_3: mse=0.1123 mae=0.2207 (0.92s)
[140] gefcom_load_linmix_condnorm_96_4: mse=0.1108 mae=0.2183 (0.82s)
[141] gefcom_load_revin_all_336_0: mse=0.5769 mae=0.5629 (0.78s)
[142] gefcom_load_revin_all_336_1: mse=0.5674 mae=0.5618 (0.78s)
[143] gefcom_load_revin_all_336_2: mse=0.5765 mae=0.5625 (1.08s)
[144] gefcom_load_revin_all_336_3: mse=0.6004 mae=0.5714 (0.78s)
[145] gefcom_load_revin_all_336_4: mse=0.5944 mae=0.5775 (0.77s)
