zone,backbone,norm,h,seed,L,mse,lps
10,rlinear,condnorm,336,2,336,0.460025,0.6433
10,rlinear,condnorm,336,3,336,0.460478,0.6433
10,rlinear,condnorm,336,4,336,0.462263,0.6433
10,lgbm_dms,winz,336,0,336,1.140331,0.6433
10,lgbm_dms,raw,336,0,336,1.119739,0.6433
10,lgbm_dms,condnorm,336,0,336,0.436063,0.6433
2,rlinear,raw,24,0,336,1.097311,0.5753
2,rlinear,raw,24,1,336,1.151484,0.5753
2,rlinear,raw,24,2,336,1.116184,0.5753
2,rlinear,raw,24,3,336,1.133891,0.5753
2,rlinear,raw,24,4,336,1.134858,0.5753
2,rlinear,revin,24,0,336,1.119914,0.5753
2,rlinear,revin,24,1,336,1.139487,0.5753
2,rlinear,revin,24,2,336,1.150456,0.5753
2,rlinear,revin,24,3,336,1.156086,0.5753
2,rlinear,revin,24,4,336,1.159455,0.5753
2,rlinear,condnorm,24,0,336,0.669293,0.5753
2,rlinear,condnorm,24,1,336,0.698484,0.5753
2,rlinear,condnorm,24,2,336,0.686513,0.5753
2,rlinear,condnorm,24,3,336,0.68066,0.5753
2,rlinear,condnorm,24,4,336,0.675344,0.5753
2,lgbm_dms,winz,24,0,336,1.158314,0.5753
2,lgbm_dms,raw,24,0,336,1.086417,0.5753
2,lgbm_dms,condnorm,24,0,336,0.629059,0.5753
2,rlinear,raw,96,0,336,1.446568,0.5753
2,rlinear,raw,96,1,336,1.464063,0.5753
2,rlinear,raw,96,2,336,1.456931,0.5753
2,rlinear,raw,96,3,336,1.48521,0.5753
2,rlinear,raw,96,4,336,1.466848,0.5753
2,rlinear,revin,96,0,336,1.510909,0.5753
2,rlinear,revin,96,1,336,1.529943,0.5753
2,rlinear,revin,96,2,336,1.519025,0.5753
2,rlinear,revin,96,3,336,1.555878,0.5753
2,rlinear,revin,96,4,336,1.527473,0.5753
2,rlinear,condnorm,96,0,336,0.631253,0.5753
2,rlinear,condnorm,96,1,336,0.633471,0.5753
2,rlinear,condnorm,96,2,336,0.636675,0.5753
2,rlinear,condnorm,96,3,336,0.632158,0.5753
2,rlinear,condnorm,96,4,336,0.629794,0.5753
2,lgbm_dms,winz,96,0,336,1.510676,0.5753
2,lgbm_dms,raw,96,0,336,1.423974,0.5753
2,lgbm_dms,condnorm,96,0,336,0.608199,0.5753
2,rlinear,raw,336,0,336,1.583936,0.5753
2,rlinear,raw,336,1,336,1.593077,0.5753
2,rlinear,raw,336,2,336,1.563689,0.5753
