dataset,alpha_kind,backbone,h,seed,L,mse,alpha_mean
etth1,lpsclip,rlinear,96,0,336,0.402388,0.0
etth1,lpsclip,rlinear,96,1,336,0.388253,0.0
etth1,lpsclip,rlinear,96,2,336,0.391223,0.0
etth1,lpsclip,rlinear,96,3,336,0.385476,0.0
etth1,lpsclip,rlinear,96,4,336,0.384933,0.0
etth1,lpsclip,lgbm_dms,96,0,336,0.37981,0.0
etth1,lpsclip,rlinear,336,0,336,0.464161,0.0
etth1,lpsclip,rlinear,336,1,336,0.455876,0.0
etth1,lpsclip,rlinear,336,2,336,0.453276,0.0
etth1,lpsclip,rlinear,336,3,336,0.504216,0.0
etth1,lpsclip,rlinear,336,4,336,0.453439,0.0
etth1,lpsclip,lgbm_dms,336,0,336,0.474802,0.0
etth2,alphahat,rlinear,24,0,192,0.231753,0.5206
etth2,alphahat,rlinear,24,1,192,0.22736,0.5206
etth2,alphahat,rlinear,24,2,192,0.229308,0.5206
etth2,alphahat,rlinear,24,3,192,0.22836,0.5206
etth2,alphahat,rlinear,24,4,192,0.232189,0.5206
etth2,alphahat,lgbm_dms,24,0,336,1.101087,0.5206
etth2,alphahat,rlinear,96,0,192,0.390585,0.5206
etth2,alphahat,rlinear,96,1,192,0.395142,0.5206
etth2,alphahat,rlinear,96,2,192,0.405024,0.5206
etth2,alphahat,rlinear,96,3,192,0.401017,0.5206
etth2,alphahat,rlinear,96,4,192,0.404971,0.5206
etth2,alphahat,lgbm_dms,96,0,336,1.151286,0.5206
etth2,alphahat,rlinear,336,0,192,0.578121,0.5206
etth2,alphahat,rlinear,336,1,192,0.607858,0.5206
etth2,alphahat,rlinear,336,2,192,0.610586,0.5206
etth2,alphahat,rlinear,336,3,192,0.604727,0.5206
etth2,alphahat,rlinear,336,4,192,0.610561,0.5206
etth2,alphahat,lgbm_dms,336,0,336,1.187104,0.5206
etth2,lpsclip,rlinear,24,0,192,0.180007,0.0
etth2,lpsclip,rlinear,24,1,192,0.176059,0.0
etth2,lpsclip,rlinear,24,2,192,0.182703,0.0
etth2,lpsclip,rlinear,24,3,192,0.172953,0.0
etth2,lpsclip,rlinear,24,4,192,0.174596,0.0
etth2,lpsclip,lgbm_dms,24,0,336,0.431337,0.0
etth2,lpsclip,rlinear,96,0,192,0.306733,0.0
etth2,lpsclip,rlinear,96,1,192,0.320325,0.0
etth2,lpsclip,rlinear,96,2,192,0.311867,0.0
etth2,lpsclip,rlinear,96,3,192,0.315705,0.0
etth2,lpsclip,rlinear,96,4,192,0.315237,0.0
etth2,lpsclip,lgbm_dms,96,0,336,0.650767,0.0
etth2,lpsclip,rlinear,336,0,192,0.493762,0.0
etth2,lpsclip,rlinear,336,1,192,0.494266,0.0
etth2,lpsclip,rlinear,336,2,192,0.531259,0.0
etth2,lpsclip,rlinear,336,3,192,0.48096,0.0
etth2,lpsclip,rlinear,336,4,192,0.486716,0.0
etth2,lpsclip,lgbm_dms,336,0,336,0.633376,0.0
weather,alphahat,rlinear,24,0,336,0.107394,0.4499
weather,alphahat,rlinear,24,1,336,0.105583,0.4499
weather,alphahat,rlinear,24,2,336,0.107395,0.4499
weather,alphahat,rlinear,24,3,336,0.108505,0.4499
