dataset,arm,backbone,h,seed,pinball,crps,cov80,cov_lo,cov_hi
gefcom_solar,raw,rlinear_q,96,4,0.092299,0.184597,0.89468,0.05427,0.948949
gefcom_solar,revin,rlinear_q,96,0,0.092402,0.184805,0.89392,0.057483,0.951403
gefcom_solar,revin,rlinear_q,96,1,0.092253,0.184505,0.884373,0.061591,0.945964
jeju_wind,winz,lgbm_q,24,0,0.17096,0.34192,0.719322,0.141008,0.86033
gefcom_solar,revin,rlinear_q,96,2,0.092236,0.184473,0.889432,0.057283,0.946715
gefcom_solar,revin,rlinear_q,96,3,0.092322,0.184644,0.887527,0.06046,0.947987
gefcom_solar,revin,rlinear_q,96,4,0.092016,0.184032,0.885718,0.061113,0.946831
gefcom_solar,san,rlinear_q,96,0,0.094606,0.189212,0.857259,0.069253,0.926512
gefcom_solar,san,rlinear_q,96,1,0.095028,0.190057,0.854727,0.074189,0.928915
gefcom_solar,san,rlinear_q,96,2,0.094497,0.188994,0.862507,0.067646,0.930153
gefcom_solar,san,rlinear_q,96,3,0.174816,0.349632,0.650901,0.219726,0.870627
gefcom_solar,san,rlinear_q,96,4,0.094773,0.189546,0.860374,0.070598,0.930972
gefcom_solar,fan,rlinear_q,96,0,0.107932,0.215864,0.788929,0.126179,0.915108
gefcom_solar,fan,rlinear_q,96,1,0.109993,0.219985,0.776922,0.136798,0.913721
gefcom_solar,fan,rlinear_q,96,2,0.110791,0.221581,0.793988,0.140141,0.934129
gefcom_solar,fan,rlinear_q,96,3,0.109039,0.218078,0.796822,0.135116,0.931937
gefcom_solar,fan,rlinear_q,96,4,0.107658,0.215316,0.786149,0.122302,0.90845
gefcom_solar,condnorm,rlinear_q,96,0,0.057558,0.115115,0.681794,0.158512,0.840306
gefcom_solar,condnorm,rlinear_q,96,1,0.057707,0.115413,0.631494,0.182441,0.813935
gefcom_solar,condnorm,rlinear_q,96,2,0.057682,0.115363,0.632977,0.182224,0.815201
gefcom_solar,condnorm,rlinear_q,96,3,0.057531,0.115062,0.668597,0.164655,0.833252
gefcom_solar,condnorm,rlinear_q,96,4,0.057585,0.11517,0.658782,0.168875,0.827658
gefcom_solar,raw,rlinear_q,336,0,0.096094,0.192188,0.882214,0.073891,0.956104
gefcom_solar,raw,rlinear_q,336,1,0.095989,0.191977,0.89153,0.064797,0.956327
gefcom_solar,raw,rlinear_q,336,2,0.095894,0.191789,0.890947,0.065803,0.95675
gefcom_solar,raw,rlinear_q,336,3,0.095944,0.191889,0.886799,0.069261,0.95606
gefcom_solar,raw,rlinear_q,336,4,0.095912,0.191824,0.887697,0.06824,0.955937
gefcom_solar,revin,rlinear_q,336,0,0.095967,0.191935,0.887388,0.067974,0.955361
