dataset,arm,h,seed,mse,mae,nmae
electricity,revin_all,24,4,0.142001,0.262826,
electricity,linmix_raw,24,0,0.148291,0.273802,
electricity,linmix_raw,24,1,0.160353,0.28788,
electricity,linmix_raw,24,2,0.136173,0.257869,
electricity,linmix_raw,24,3,0.138951,0.263002,
electricity,linmix_raw,24,4,0.156492,0.284567,
electricity,linmix_revin,24,0,0.107678,0.211165,
electricity,linmix_revin,24,1,0.118427,0.229792,
electricity,linmix_revin,24,2,0.107058,0.209505,
electricity,linmix_revin,24,3,0.107871,0.211314,
electricity,linmix_revin,24,4,0.106865,0.208774,
electricity,linmix_condnorm,24,0,0.127128,0.237317,
electricity,linmix_condnorm,24,1,0.128826,0.239702,
electricity,linmix_condnorm,24,2,0.129732,0.240528,
electricity,linmix_condnorm,24,3,0.129828,0.239684,
electricity,linmix_condnorm,24,4,0.13105,0.242357,
electricity,revin_all,96,0,0.239023,0.354019,
electricity,revin_all,96,1,0.22938,0.34475,
electricity,revin_all,96,2,0.217147,0.332623,
electricity,revin_all,96,3,0.197116,0.315823,
electricity,revin_all,96,4,0.191823,0.309234,
electricity,linmix_raw,96,0,0.248116,0.368912,
electricity,linmix_raw,96,1,0.221859,0.34495,
electricity,linmix_raw,96,2,0.216972,0.337778,
electricity,linmix_raw,96,3,0.197049,0.320724,
electricity,linmix_raw,96,4,0.217263,0.340201,
electricity,linmix_revin,96,0,0.147289,0.253036,
electricity,linmix_revin,96,1,0.146695,0.252429,
electricity,linmix_revin,96,2,0.148977,0.256254,
electricity,linmix_revin,96,3,0.144911,0.248974,
electricity,linmix_revin,96,4,0.173023,0.286719,
electricity,linmix_condnorm,96,0,0.191829,0.29995,
electricity,linmix_condnorm,96,1,0.183993,0.293548,
electricity,linmix_condnorm,96,2,0.178134,0.287317,
electricity,linmix_condnorm,96,3,0.184074,0.294203,
electricity,linmix_condnorm,96,4,0.185875,0.295312,
electricity,revin_all,336,0,0.25178,0.355939,
electricity,revin_all,336,1,0.257447,0.362401,
electricity,revin_all,336,2,0.245844,0.352857,
electricity,revin_all,336,3,0.233169,0.342127,
electricity,revin_all,336,4,0.240175,0.347439,
electricity,linmix_raw,336,0,0.247366,0.361596,
electricity,linmix_raw,336,1,0.258039,0.372935,
electricity,linmix_raw,336,2,0.232236,0.348787,
electricity,linmix_raw,336,3,0.248898,0.364664,
electricity,linmix_raw,336,4,0.242284,0.358568,
electricity,linmix_revin,336,0,0.172488,0.272905,
electricity,linmix_revin,336,1,0.171074,0.270559,
electricity,linmix_revin,336,2,0.200481,0.30942,
electricity,linmix_revin,336,3,0.172396,0.27288,
electricity,linmix_revin,336,4,0.201074,0.309008,
electricity,linmix_condnorm,336,0,0.21266,0.312672,
electricity,linmix_condnorm,336,1,0.210844,0.31122,
electricity,linmix_condnorm,336,2,0.209389,0.310058,
electricity,linmix_condnorm,336,3,0.208969,0.309133,
electricity,linmix_condnorm,336,4,0.211206,0.311165,
