dataset,arm,footing,backbone,h,seed,L,mse,threads,wall_s
gefcom_wind,raw,window,linmix,336,0,336,0.434773,8,0.5
gefcom_wind,raw,window,linmix,336,1,336,0.41693,8,0.5
gefcom_wind,raw,window,linmix,336,2,336,0.474781,8,0.3
gefcom_wind,raw,window,linmix,336,3,336,0.430685,8,0.3
gefcom_wind,raw,window,linmix,336,4,336,0.448492,8,0.3
gefcom_wind,revin,window,linmix,336,0,336,0.389008,8,1.1
gefcom_wind,revin,window,linmix,336,1,336,0.372374,8,1.1
gefcom_wind,revin,window,linmix,336,2,336,0.358887,8,0.6
gefcom_wind,revin,window,linmix,336,3,336,0.35361,8,0.8
gefcom_wind,revin,window,linmix,336,4,336,0.347039,8,0.6
gefcom_wind,raw,window_floor,linmix,336,0,336,0.434773,8,0.4
gefcom_wind,raw,window_floor,linmix,336,1,336,0.41693,8,0.4
gefcom_wind,raw,window_floor,linmix,336,2,336,0.474781,8,0.3
gefcom_wind,raw,window_floor,linmix,336,3,336,0.430685,8,0.4
gefcom_wind,raw,window_floor,linmix,336,4,336,0.448492,8,0.3
gefcom_wind,revin,window_floor,linmix,336,0,336,0.389008,8,1.1
gefcom_wind,revin,window_floor,linmix,336,1,336,0.372374,8,1.0
gefcom_wind,revin,window_floor,linmix,336,2,336,0.358887,8,0.7
gefcom_wind,revin,window_floor,linmix,336,3,336,0.35361,8,0.8
gefcom_wind,revin,window_floor,linmix,336,4,336,0.347039,8,0.4
gefcom_wind,raw,scale,linmix,336,0,336,0.37563,8,0.3
gefcom_wind,raw,scale,linmix,336,1,336,0.389575,8,0.4
gefcom_wind,raw,scale,linmix,336,2,336,0.346146,8,0.3
gefcom_wind,raw,scale,linmix,336,3,336,0.397139,8,0.5
gefcom_wind,raw,scale,linmix,336,4,336,0.3623,8,0.4
gefcom_wind,revin,scale,linmix,336,0,336,0.404382,8,1.5
gefcom_wind,revin,scale,linmix,336,1,336,0.349192,8,1.0
gefcom_wind,revin,scale,linmix,336,2,336,0.370632,8,0.4
gefcom_wind,revin,scale,linmix,336,3,336,0.377352,8,0.7
gefcom_wind,revin,scale,linmix,336,4,336,0.40134,8,0.4
gefcom_wind,raw,global,mlpmix,24,0,192,0.241522,8,0.6
gefcom_wind,raw,global,mlpmix,24,1,192,0.243518,8,0.4
gefcom_wind,raw,global,mlpmix,24,2,192,0.240036,8,0.4
gefcom_wind,raw,global,mlpmix,24,3,192,0.232417,8,0.6
gefcom_wind,raw,global,mlpmix,24,4,192,0.233975,8,0.4
gefcom_wind,revin,global,mlpmix,24,0,192,0.262176,8,0.8
gefcom_wind,revin,global,mlpmix,24,1,192,0.272226,8,0.5
gefcom_wind,revin,global,mlpmix,24,2,192,0.263203,8,0.4
gefcom_wind,revin,global,mlpmix,24,3,192,0.257606,8,0.4
gefcom_wind,revin,global,mlpmix,24,4,192,0.264403,8,0.5
gefcom_wind,raw,window,mlpmix,24,0,192,0.26241,8,0.7
gefcom_wind,raw,window,mlpmix,24,1,192,0.261111,8,0.9
gefcom_wind,raw,window,mlpmix,24,2,192,0.270539,8,0.3
gefcom_wind,raw,window,mlpmix,24,3,192,0.260327,8,0.8
gefcom_wind,raw,window,mlpmix,24,4,192,0.26555,8,0.5
gefcom_wind,revin,window,mlpmix,24,0,192,0.212629,8,0.7
gefcom_wind,revin,window,mlpmix,24,1,192,0.220617,8,0.6
