lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.0,1,336,24,cn_est,0.722112,0.678566,5,0.0023,7.536886,7.664318,0.1
0.0,1,336,96,raw,0.853307,0.738358,8,0.0023,nan,7.633571,0.16
0.0,1,336,96,revin,0.627655,0.630938,7,0.0023,nan,0.032984,0.22
0.0,1,336,96,cn_oracle,0.595506,0.615456,6,0.0023,nan,0.0,0.11
0.0,1,336,96,cn_est,0.879278,0.748501,5,0.0023,7.536886,7.668504,0.12
0.0,1,336,336,raw,0.906665,0.760628,6,0.0023,nan,7.629473,0.13
0.0,1,336,336,revin,0.663043,0.650017,5,0.0023,nan,0.054574,0.14
0.0,1,336,336,cn_oracle,0.601314,0.618733,5,0.0023,nan,0.0,0.1
0.0,1,336,336,cn_est,0.925308,0.768959,5,0.0023,7.536886,7.665284,0.09
0.0,2,96,24,raw,0.314008,0.44448,9,0.0032,nan,1.07394,0.15
0.0,2,96,24,revin,0.312,0.442901,6,0.0032,nan,0.030084,0.23
0.0,2,96,24,cn_oracle,0.287264,0.42719,6,0.0032,nan,0.0,0.2
0.0,2,96,24,cn_est,0.335689,0.460071,11,0.0032,1.108118,1.088222,0.21
0.0,2,96,96,raw,0.340164,0.463143,9,0.0032,nan,1.048552,0.15
0.0,2,96,96,revin,0.334644,0.459193,6,0.0032,nan,0.046863,0.16
0.0,2,96,96,cn_oracle,0.293136,0.430936,6,0.0032,nan,0.0,0.12
0.0,2,96,96,cn_est,0.366291,0.481281,7,0.0032,1.108118,1.06425,0.15
0.0,2,96,336,raw,0.391299,0.497019,10,0.0032,nan,0.974032,0.17
0.0,2,96,336,revin,0.390005,0.496112,7,0.0032,nan,0.098186,0.2
0.0,2,96,336,cn_oracle,0.298357,0.434698,7,0.0032,nan,0.0,0.12
0.0,2,96,336,cn_est,0.416639,0.513532,10,0.0032,1.108118,0.986694,0.16
0.0,2,336,24,raw,0.316857,0.447735,9,0.0032,nan,1.07394,0.14
0.0,2,336,24,revin,0.315265,0.446147,8,0.0032,nan,0.059915,0.2
0.0,2,336,24,cn_oracle,0.289935,0.428467,8,0.0032,nan,0.0,0.14
0.0,2,336,24,cn_est,0.341052,0.465173,9,0.0032,1.127249,1.088222,0.15
0.0,2,336,96,raw,0.346493,0.468551,8,0.0032,nan,1.048552,0.13
0.0,2,336,96,revin,0.335855,0.46099,6,0.0032,nan,0.073834,0.21
0.0,2,336,96,cn_oracle,0.29528,0.432629,6,0.0032,nan,0.0,0.1
0.0,2,336,96,cn_est,0.372254,0.486168,8,0.0032,1.127249,1.06425,0.13
0.0,2,336,336,raw,0.400798,0.503457,12,0.0032,nan,0.974032,0.19
