lam,seed,L,h,th_raw,th_revin,th_cn_oracle,th_cn_est
0.0,0,96,24,0.2680044333451293,0.2685883252594737,0.24173847205059176,0.28617866463487074
0.0,0,96,96,0.2968705633734202,0.2992657283146291,0.24177534393475103,0.31503294124756237
0.0,0,96,336,0.35679308787188224,0.3704207005835217,0.2451710873996,0.3724897350351394
0.5,0,96,24,0.6925123990397832,0.725449581239804,0.08371666690307877,0.09319364898506692
0.5,0,96,96,0.7880416683011594,0.852215042559759,0.08484320538886034,0.09532203887454599
0.5,0,96,336,0.8007712263411999,0.8731772022337676,0.08446688289222706,0.10047498026566015
1.0,0,96,24,0.7389771639669811,0.8186275315371202,0.056458016381988926,0.05844750733123431
1.0,0,96,96,0.8286724436411409,0.9599648512205329,0.057151918595162034,0.05913623672035927
1.0,0,96,336,0.8428403034082018,0.9732091736237732,0.057645367945644725,0.059866392720433065
0.0,0,336,24,0.26621710692568595,0.26654681152863724,0.2393799895951297,0.2843895710805389
0.0,0,336,96,0.30074795347192107,0.3023263858950619,0.24194500686269246,0.31847170741502834
0.0,0,336,336,0.3663839624505556,0.37827704168525506,0.2416174240288564,0.38084803446881094
0.0,1,96,24,0.635017965115611,0.6083647337983813,0.5804603597462816,0.6471431450811951
0.0,1,96,96,0.6556578665051035,0.6194896406268663,0.5848518282337988,0.6669884164779296
0.0,1,96,336,0.7485052928007667,0.6486895714006314,0.5860454196150768,0.7528669798605542
0.0,1,336,24,0.6039971513177806,0.5981717179052807,0.5742534896353846,0.6157976213375111
0.0,1,336,96,0.6203723245397441,0.6117224926682101,0.5799848894179047,0.6306531477430348
0.0,1,336,336,0.6941393823454987,0.6478960764427169,0.5878008831533614,0.7013507722689857
0.0,2,96,24,0.3098125559325456,0.30955103364063447,0.28493286695917125,0.33322131982135894
0.0,2,96,96,0.33345381420783926,0.33235270916333987,0.29088201134580655,0.3577490997101768
0.0,2,96,336,0.3883041984427886,0.3869049150820533,0.29582139806662383,0.4136567798108278
0.0,2,336,24,0.30737137601071896,0.30708702426879714,0.2828731810360625,0.33165781645436354
0.0,2,336,96,0.3282395162880411,0.32721867080365463,0.2877740463167853,0.3542704583242832
0.0,2,336,336,0.3861689077517058,0.3829526435003035,0.29430446564501106,0.41195459735875806
0.0,3,96,24,0.3092759225985429,0.3064670694851259,0.2737056938408618,0.3284510784175576
0.0,3,96,96,0.34179446750779385,0.3305150849962029,0.27663462519649373,0.3598609728736263
0.0,3,96,336,0.44578988205529835,0.38247163920821475,0.2806426752504497,0.4658820558587725
0.0,3,336,24,0.31069749424937454,0.3066907668876547,0.27383475548445024,0.33058115302738883
0.0,3,336,96,0.34642746526341106,0.33160915006159564,0.27789285699842997,0.3651927935517182
0.0,3,336,336,0.4518771831052709,0.3843905286809473,0.27991173704408,0.4726091945441432
0.0,4,96,24,0.4758532567315735,0.4683362421673847,0.44201279168033775,0.4923365486990334
0.0,4,96,96,0.515882577942347,0.49138900345228254,0.44747847066006974,0.5344347765673566
0.0,4,96,336,0.6510132739417525,0.5114639289310243,0.4461723449322878,0.6705426278706287
0.0,4,336,24,0.464767954915274,0.4613860465405442,0.43668343295318746,0.4808311378196557
0.0,4,336,96,0.49443722577828014,0.48106618331248635,0.44015512092237347,0.50900201804095
0.0,4,336,336,0.620204841519809,0.4960882648397551,0.4386127346741653,0.6307302643364457
0.0,5,96,24,0.4309117020492782,0.42291257137049615,0.3909396034546541,0.44635383946230545
0.0,5,96,96,0.47168705488224555,0.4531934075682907,0.3935975311113388,0.4881534122255949
0.0,5,96,336,0.6114480312861927,0.5337011805233951,0.3911620452666393,0.6302972493596148
0.0,5,336,24,0.4204099837103798,0.41325989677832,0.382411022641883,0.43627505076587036
0.0,5,336,96,0.46829993147048254,0.4459756424420967,0.38688154486428333,0.4852468077312314
0.0,5,336,336,0.6622805850546172,0.5298416398271156,0.384554342534693,0.6821194822590174
0.0,6,96,24,0.20937485863324604,0.20938711542238247,0.19734235372715678,0.22941179983946933
0.0,6,96,96,0.21508928215061554,0.21509678086567174,0.19840732937356406,0.23507262633332307
0.0,6,96,336,0.23128486380520336,0.23112178210014525,0.20007549292554902,0.2520627185409184
0.0,6,336,24,0.20592431115822854,0.20589230500296396,0.1938272709349528,0.22680522956289625
0.0,6,336,96,0.21210878438442926,0.21205039783723476,0.19579398123353248,0.233076993957191
0.0,6,336,336,0.22994853323447126,0.22960650498966662,0.19855142219866304,0.25121130014994
0.0,7,96,24,0.6206986745913498,0.5735093613296873,0.53912273424775,0.635476285309263
0.0,7,96,96,0.6859577472890619,0.6026846105821608,0.5504819711280018,0.7040182892019815
0.0,7,96,336,1.0035972388362997,0.6637256484793205,0.558176783222466,1.0220449368433278
0.0,7,336,24,0.599312554473028,0.567340006755308,0.5370237796898915,0.6132084857496901
0.0,7,336,96,0.6588096984091258,0.5926150229886834,0.5458734697631775,0.6748399645067753
0.0,7,336,336,0.8925071349914852,0.6415632048636105,0.5497950584256371,0.9043924785020516
0.0,8,96,24,0.2919382174675348,0.29266525891889633,0.2645353405236159,0.3122927326615709
0.0,8,96,96,0.3258352550391497,0.3278094750230888,0.2701118323821486,0.34541306343652417
0.0,8,96,336,0.3798953435104771,0.38672603802956995,0.2718265407011355,0.39696658247139804
0.0,8,336,24,0.29050220859447906,0.2908964835522235,0.26352808952672246,0.3119997603841197
0.0,8,336,96,0.3218927857779459,0.32311171149087126,0.26724578961799894,0.3424857384464542
0.0,8,336,336,0.3754412313840466,0.3818951555673018,0.2665125634543776,0.3941363993537182
0.0,9,96,24,0.40638081413225174,0.4034537967575374,0.3896606144610227,0.4210916784177112
0.0,9,96,96,0.40785197665310763,0.4052126417986683,0.3907067032803828,0.42169173643084923
0.0,9,96,336,0.4185073058946386,0.41230141488948396,0.3938928976042311,0.4312721846464358
0.0,9,336,24,0.3932719767993461,0.39282734444750267,0.3857039355256482,0.40572474870659975
0.0,9,336,96,0.3977441100841726,0.3972095465454633,0.3886535748977673,0.40971573835869546
0.0,9,336,336,0.4079392236984811,0.4051371458693188,0.39246753748437235,0.4202368755905731
0.1,0,96,24,0.5865753580228572,0.5899301288767334,0.2114199583919525,0.23278891270360832
0.1,0,96,96,0.6646666192019878,0.6707491833161291,0.2148924602713816,0.23757275951311707
0.1,0,96,336,0.7129949359598348,0.7271485779169976,0.2165908054620916,0.24919216590855414
0.1,0,336,24,0.5717166553879562,0.5743593228196321,0.207888314190751,0.2288424932208496
0.1,0,336,96,0.6306102976090023,0.6355389914452477,0.2096510124437842,0.23340876371081215
0.1,0,336,336,0.6676132438858455,0.6771787716062305,0.2105757921383541,0.24340509607209815
0.1,1,96,24,0.5195506687551991,0.5252713362745414,0.17659021864034496,0.20654055542085634
0.1,1,96,96,0.5596776627571073,0.5682143127140507,0.17761121457661866,0.21193513592261476
0.1,1,96,336,0.6129955589449367,0.6349505240229358,0.17882966697690392,0.2300420267414548
0.1,1,336,24,0.507280161859331,0.5085589783441908,0.17514189950271652,0.20442907094828633
0.1,1,336,96,0.5638322651246995,0.5674496069893978,0.1773879113874233,0.21083265446702676
0.1,1,336,336,0.5936928706803867,0.6033733549035964,0.17701656581153227,0.22685947499886977
0.1,2,96,24,0.5236318044719909,0.5292070995822633,0.18423843093088307,0.21792142390653418
0.1,2,96,96,0.5724487610466903,0.5832414596290856,0.18531239613680087,0.23293420990396072
0.1,2,96,336,0.5909459489049476,0.6179057582993134,0.18470637372003648,0.25465360827815786
0.1,2,336,24,0.5047952638788197,0.5065271588950858,0.18009650223023388,0.21285852608487815
0.1,2,336,96,0.5553814396756893,0.5600029706437023,0.18097835392572212,0.22834089991980278
0.1,2,336,336,0.5796589282398933,0.5963275180463985,0.18225282474890034,0.2541409451497348
0.1,3,96,24,1.504789280889334,0.8168094504903947,0.29706496912844665,0.44981261932129973
0.1,3,96,96,2.342076673646093,0.8930935284238566,0.3004484829673287,0.5783683597307173
0.1,3,96,336,3.5537725077281155,0.9439830976018583,0.3003019814586984,1.146351716852899
0.1,3,336,24,1.3152742830702309,0.7746033780936935,0.2918242954214144,0.39508221677070976
0.1,3,336,96,1.9848134908484092,0.8435746304900232,0.2944898302865883,0.5099163942290224
0.1,3,336,336,2.3521794829631695,0.9154089367436029,0.2942368308994194,1.0002462610749514
0.1,4,96,24,0.42400244340945636,0.428198490562682,0.158783311304066,0.19225721821864103
0.1,4,96,96,0.46102362119496904,0.4678960575590645,0.1595563811021559,0.21153518364213333
0.1,4,96,336,0.5057924369266535,0.5246261866981007,0.16106941277885042,0.2524823361907238
0.1,4,336,24,0.40551699192973373,0.4070352260728052,0.15539891939159683,0.18977971411865444
0.1,4,336,96,0.44817116676291935,0.4516830138876211,0.15739726602725992,0.21086892967432302
0.1,4,336,336,0.4968467526954392,0.5056331559329323,0.16045386061991387,0.25330988912124375
0.1,5,96,24,0.6160074849463646,0.574654623544023,0.24439496344130848,0.2720766149138586
0.1,5,96,96,0.7286987158125572,0.65991228946536,0.24863530457312985,0.2903328690080635
0.1,5,96,336,0.7783123160480018,0.6949981041859087,0.25033368695512137,0.3483107726230119
0.1,5,336,24,0.5618446360694023,0.5524790033361496,0.24160297485164187,0.2686427224748715
0.1,5,336,96,0.6354805744212505,0.6172291222051234,0.24621473132142435,0.2871749595611761
0.1,5,336,336,0.6820366807977725,0.6457004299136497,0.24655289186858914,0.3407130791214193
0.1,6,96,24,1.2406299238289475,0.7849119488693277,0.317142910701091,0.38551764440364933
