dataset,arm,backbone,h,seed,variant,width80,upper_margin,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
gefcom_wind,raw,rlinear_q,24,1,none,2.037603,1.111362,0.26765,0.5353,0.759847,0.098339,0.858186,0.754215
gefcom_wind,raw,rlinear_q,24,1,pooled,2.210182,1.251251,0.267823,0.535646,0.801514,0.085343,0.886857,0.799965
gefcom_wind,raw,rlinear_q,24,1,perstep,2.243031,1.284173,0.268127,0.536254,0.800844,0.088089,0.888934,0.799921
gefcom_wind,raw,rlinear_q,24,2,none,2.074509,1.169659,0.280069,0.560137,0.763264,0.086817,0.85008,0.774431
gefcom_wind,raw,rlinear_q,24,2,pooled,2.176888,1.260122,0.280061,0.560121,0.786643,0.081324,0.867966,0.799965
gefcom_wind,raw,rlinear_q,24,2,perstep,2.189703,1.275104,0.280485,0.560969,0.783896,0.080922,0.864818,0.799854
gefcom_wind,raw,rlinear_q,24,3,none,1.905434,1.060359,0.281206,0.562412,0.708266,0.111267,0.819534,0.747948
gefcom_wind,raw,rlinear_q,24,3,pooled,2.109743,1.222218,0.281223,0.562445,0.761723,0.093449,0.855171,0.799965
gefcom_wind,raw,rlinear_q,24,3,perstep,2.147621,1.258404,0.281535,0.56307,0.763063,0.093382,0.856444,0.800097
gefcom_wind,raw,rlinear_q,24,4,none,1.860336,1.03458,0.281996,0.563993,0.703577,0.115622,0.819199,0.721354
gefcom_wind,raw,rlinear_q,24,4,pooled,2.142229,1.240937,0.281679,0.563358,0.775523,0.086951,0.862473,0.799965
gefcom_wind,raw,rlinear_q,24,4,perstep,2.175713,1.271111,0.281683,0.563366,0.776058,0.087956,0.864014,0.80045
gefcom_wind,revin,rlinear_q,24,0,none,2.202393,1.278104,0.275336,0.550672,0.76802,0.141144,0.909164,0.79789
gefcom_wind,revin,rlinear_q,24,0,pooled,2.241017,1.342665,0.275404,0.550809,0.771302,0.15414,0.925442,0.800163
gefcom_wind,revin,rlinear_q,24,0,perstep,2.253504,1.356668,0.275422,0.550845,0.7709,0.155413,0.926313,0.80023
gefcom_wind,revin,rlinear_q,24,1,none,2.173118,1.263337,0.277835,0.555669,0.75824,0.135785,0.894025,0.794469
gefcom_wind,revin,rlinear_q,24,1,pooled,2.22923,1.314715,0.277712,0.555425,0.76601,0.151594,0.917605,0.799965
gefcom_wind,revin,rlinear_q,24,1,perstep,2.245879,1.328272,0.277802,0.555604,0.768355,0.151125,0.91948,0.80023
gefcom_wind,revin,rlinear_q,24,2,none,2.224437,1.262673,0.27009,0.540181,0.775255,0.13123,0.906484,0.795749
gefcom_wind,revin,rlinear_q,24,2,pooled,2.273006,1.343706,0.270512,0.541023,0.78202,0.145766,0.927787,0.80023
gefcom_wind,revin,rlinear_q,24,2,perstep,2.280598,1.351069,0.270481,0.540963,0.783628,0.144829,0.928457,0.800185
gefcom_wind,revin,rlinear_q,24,3,none,2.177238,1.277773,0.281857,0.563714,0.74645,0.143556,0.890005,0.808594
gefcom_wind,revin,rlinear_q,24,3,pooled,2.165347,1.277396,0.281799,0.563598,0.738813,0.15903,0.897843,0.800075
gefcom_wind,revin,rlinear_q,24,3,perstep,2.174491,1.286339,0.281958,0.563916,0.740287,0.158896,0.899183,0.800053
gefcom_wind,revin,rlinear_q,24,4,none,2.082248,1.206685,0.28054,0.561079,0.72642,0.157623,0.884043,0.782133
gefcom_wind,revin,rlinear_q,24,4,pooled,2.166482,1.289891,0.28024,0.56048,0.746517,0.156886,0.903403,0.799965
gefcom_wind,revin,rlinear_q,24,4,perstep,2.179691,1.305631,0.280354,0.560707,0.744976,0.158695,0.903671,0.799943
gefcom_wind,condnorm,rlinear_q,24,0,none,0.526605,0.257694,0.134831,0.269662,0.471932,0.24444,0.716372,0.48848
gefcom_wind,condnorm,rlinear_q,24,0,pooled,1.129428,0.623141,0.127325,0.254651,0.822816,0.123995,0.946811,0.799965
gefcom_wind,condnorm,rlinear_q,24,0,perstep,1.127526,0.62018,0.127369,0.254738,0.822414,0.124531,0.946945,0.799788
gefcom_wind,condnorm,rlinear_q,24,1,none,0.511116,0.253696,0.134494,0.268988,0.462621,0.249129,0.71175,0.500331
gefcom_wind,condnorm,rlinear_q,24,1,pooled,1.088529,0.604555,0.126734,0.253469,0.813036,0.131364,0.9444,0.799965
gefcom_wind,condnorm,rlinear_q,24,1,perstep,1.092291,0.60524,0.126681,0.253361,0.813706,0.13123,0.944936,0.799788
gefcom_wind,condnorm,rlinear_q,24,2,none,0.513173,0.250233,0.134249,0.268498,0.462152,0.250335,0.712487,0.483272
gefcom_wind,condnorm,rlinear_q,24,2,pooled,1.118694,0.616224,0.126394,0.252789,0.824625,0.122454,0.947079,0.799965
gefcom_wind,condnorm,rlinear_q,24,2,perstep,1.119036,0.615185,0.126353,0.252706,0.825094,0.121852,0.946945,0.799788
gefcom_wind,condnorm,rlinear_q,24,3,none,0.533222,0.27027,0.134225,0.26845,0.476621,0.235798,0.71242,0.489363
gefcom_wind,condnorm,rlinear_q,24,3,pooled,1.130853,0.638263,0.126186,0.252373,0.831994,0.114081,0.946074,0.799965
gefcom_wind,condnorm,rlinear_q,24,3,perstep,1.128948,0.636079,0.126138,0.252276,0.830185,0.115287,0.945472,0.799788
gefcom_wind,condnorm,rlinear_q,24,4,none,0.52141,0.255018,0.134343,0.268686,0.470927,0.245445,0.716372,0.492496
gefcom_wind,condnorm,rlinear_q,24,4,pooled,1.11332,0.608678,0.126659,0.253317,0.819467,0.125,0.944467,0.799965
gefcom_wind,condnorm,rlinear_q,24,4,perstep,1.115055,0.606194,0.126581,0.253161,0.818395,0.124866,0.943261,0.799788
gefcom_load,raw,rlinear_q,24,0,none,1.063061,0.541488,0.115374,0.230748,0.84584,0.072132,0.917972,0.828921
gefcom_load,raw,rlinear_q,24,0,pooled,1.005187,0.507539,0.115064,0.230128,0.820031,0.085614,0.905645,0.800574
gefcom_load,raw,rlinear_q,24,0,perstep,1.002951,0.504262,0.114921,0.229842,0.820462,0.085279,0.905741,0.801077
gefcom_load,raw,rlinear_q,24,1,none,1.027203,0.513254,0.11447,0.22894,0.838875,0.072807,0.911683,0.822525
gefcom_load,raw,rlinear_q,24,1,pooled,0.984025,0.492418,0.114302,0.228605,0.818106,0.086313,0.904418,0.800481
gefcom_load,raw,rlinear_q,24,1,perstep,0.982709,0.491938,0.1141,0.2282,0.818826,0.086006,0.904832,0.800991
gefcom_load,raw,rlinear_q,24,2,none,0.991746,0.501089,0.114376,0.228752,0.819845,0.079534,0.899379,0.813972
gefcom_load,raw,rlinear_q,24,2,pooled,0.964966,0.488068,0.114135,0.22827,0.807077,0.091813,0.89889,0.800133
gefcom_load,raw,rlinear_q,24,2,perstep,0.97385,0.491595,0.113984,0.227968,0.809595,0.090646,0.90024,0.801084
gefcom_load,raw,rlinear_q,24,3,none,1.069777,0.530723,0.115657,0.231314,0.843835,0.066866,0.910701,0.826803
